BOR;AN;FI;FI_EJ;BIO_A1;BIO_A2;BIO_A3;BIO_A4;BIO_A5;BIO_A6;BIO_A7;BIO_A8;BIO_A9;BIO_A10;BIO_A11;BIO_A12;BIO_A13;BIO_A14;BIO_A15;BIO_A16;BIO_A17;BIO_A18;BIO_B1;BIO_B2;BIO_B3;BIO_B4;BIO_A19;BIO_A20;BIO_B19;BIO_B20;BIO_B21;BIO_C19;BIO_C20;BIO_A22;BIO_A23;BIO_A24;BIO_A25;BIO_A26;BIO_A27;BIO_A28;BIO_A29;BIO_A30;BIO_B22;BIO_B23;BIO_B24;BIO_B25;BIO_B26;BIO_B27;BIO_B28;BIO_B29;BIO_B30;BIO_C22;BIO_C23;BIO_C24;BIO_C25;BIO_C26;BIO_C27;BIO_C28;BIO_C29;BIO_C30;BIO_D22;BIO_D23;BIO_D25;BIO_E22;BIO_E23;BIO_E25
BIO;2019;270000359;270023724;1;1;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;775034;116043;45467;6275;3364;8139;113;105;3496;1274;1;4;;24;11;2;;4;1;0;0;1;6;1;2;1;;3;1;4;0.62;29.27;11.97;3;0.2;4;2.32;0;0;;1;1;
BIO;2019;270000367;270000086;1;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;284652;4430;;0;0;0;0;;0;0;2;0;0;11;3;0;0;0;0;1;0;0;2;1;0;0;0;0;2.41;0;0;11.7;2.79;0;0;0;0;0;;0;1;0;1
BIO;2019;270000458;270023724;1;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;251228;57210;20563;;;;;;;;;2;;10;7;;;;;;0;0;2;1;;;;;;2;0.17;12.25;7.78;;;;;;0;;;1;
BIO;2019;270000912;750814030;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;235689;6703;0;;;;;;;;;1;;5;;;;;;;1;;;;;;;;;1.1;;5;;;;;;;0;;;0;
BIO;2019;280000084;280000183;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1219010;50317;24;;;;;;;;3;2;1;17;8;;;;;;;;11;4;;;;;3.37;1.83;1;25.55;10.42;;;;;;;1;1;1;1
BIO;2019;280000662;280500075;;;;;;;;;;;;;;;;;;;1;220495;38183;;;;;;;;;1;;;5;1;;;;;;;;5;;;;;;1;;;9.28;1;;;;;0;;0;0;;0
BIO;2019;280504267;280000134;1;1;0;1;1;0;0;1;0;0;1;1;1;1;0;0;1;1;1;1109380;465120;447282;667;0;7367;0;73;1001;0;7;1;1;27;4;2;;3;1;1;;;7;3;0;;3;2;5.21;0.97;1;31.13;5.84;1.98;;5.77;2.1;0;0;0;1;1;0
BIO;2019;290000025;290020700;1;1;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;920633;350013;134236;;;;;;;;1;4;3;30;9;;;;;;1;0;12;8;;;;;1;4.4;1.25;43.78;18.38;;;;;0;0;0;1;1;0
BIO;2019;290000033;290021542;1;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;;750309;75030;75030;;;;;;;;3;;;28;5;;;;;1;;;7;2;;;;;4.3;;;33.11;5.03;;;;;0;;;1;;
BIO;2019;290000173;290000041;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;159541;0;0;;;;;;;;1;;;7;;;;;;;;1;3;;;;;;1;;0.4;9.11;;;;;;0;;;1;;
BIO;2019;290000181;290000074;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;110292;3037;0;0;;0;;;0;;;1;;3;;;;;;;;;2;1;;;;;;0.2;;5.16;0.5;;;;;0;0;0;0;1;1
BIO;2019;290000728;750821092;1;1;0;1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0;317951;69960;61;;;;;;;;;1;;15;2;;;;;2;1;1;5;;1;;;;0.94;1.09;0.8;15.93;2;0.16;;;;0;0;1;1;1;0
BIO;2019;290000785;220020739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;4;4;;;;;;;;3;5;;;;;1.1;;;5.54;6.53;;;;;0;0;0;0;;0
BIO;2019;290000934;560005746;1;1;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;284406;9669;9010;;;;;;;;;;1;6;2;;;;;;1;;2;3;;;;;;0.2;1;7.89;4.3;;;;;0;0;;1;1;
BIO;2019;290004324;290000017;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;3529311;124453;;11647;4817;25591;271;526;8285;99;21;21;6;60;10;8;;;;2;;3;30;8;2;;;;14.3;19.02;6.94;88.49;16.61;6.91;;;;0;0;1;1;1;1
BIO;2019;2A0000022;2A0000014;1;0;0;1;1;1;0;1;0;0;1;1;1;0;0;0;0;0;1;720638;79547;63760;1272;960;3879;30;118;776;295;;3;2;33;8;1;1;4;3;;1;;3;;;;;;;3.4;2;33.82;8;1;1;4;3.27;;;;;;
BIO;2019;2B0000012;2B0000020;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;898817;1683;;0;0;0;0;0;0;0;3;0;1;25;3;0;0;0;0;0;0;1;3;2;0;0;0;0;3;0;1.25;24.47;3.36;0;0;0;0;0;0;1;1;1;0
BIO;2019;300000023;300780046;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;708667;70779;52101;;;;;;;;1;2;2;27;6;;;;;1;0;;5;2;;;;;1.37;2;1.1;18.62;6.6;;;;;0;0;1;1;1;0
BIO;2019;300000031;300780053;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;609263;217071;6940;;;;;;;;0;2;0;12;3;0;;;;1;0;0;6;1;0;;;;0.04;2.05;0;16.56;3.21;0;;;;0;0;1;1;1;0
BIO;2019;300782117;300780038;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;3593029;45577;;8727;2851;24082;150;390;684;3;29;;3;60;26;5;1;27;18;3;;;11;3;2;;8;6;23.2;;3;67.36;27.53;5.88;1;31.67;23.02;0;0;0;1;;0
